date,open,high,low,close,volume (btc),volume (usd),weighted price
26-Jan-17,893.25,919.49,892.86,914.83,5164.9,4688102.25,907.69
27-Jan-17,914.95,924.88,908.01,918.02,4830.54,4433746.38,917.86
28-Jan-17,918.02,920.99,913.08,918.6,1175.86,1078884.52,917.53
29-Jan-17,918.6,919.99,910.45,912.01,1349.01,1234746.08,915.29
30-Jan-17,913.12,923,910,919.99,3121.19,2865063.73,917.94
31-Jan-17,919.99,970,917.5,963.99,9507.1,9024041.55,949.19
01-Feb-17,963.99,986.96,962,983.67,6954.4,6748543.97,970.4
02-Feb-17,983.79,1011.65,973.12,1009.17,8269.68,8222686.79,994.32
03-Feb-17,1009.15,1022.64,987.01,1016.99,10928.02,11029881.3,1009.32
04-Feb-17,1015.06,1044.23,1004,1033.18,5752.29,5884560.6,1022.99
05-Feb-17,1033.72,1034.6,1004.7,1011.07,4348.17,4417546.51,1015.96
06-Feb-17,1010.03,1031.94,1005.1,1023.99,5080.85,5188721.52,1021.23
07-Feb-17,1024,1056.25,1021.3,1052.48,5372.13,5605838.11,1043.5
08-Feb-17,1052.48,1070,1025,1050.4,9633.26,10072826.84,1045.63
09-Feb-17,1051.73,1074.69,913.73,986,25150.07,25064862.06,996.61
10-Feb-17,985.71,1010.68,950,996.08,10731.29,10491584.37,977.66
11-Feb-17,995.49,1020,987.62,1012.4,4472.51,4509154.73,1008.19
12-Feb-17,1011.01,1011.97,991.98,1000.73,2684,2690265.37,1002.34
13-Feb-17,1000.73,1007.89,975.1,1000.79,4547.26,4522130.78,994.47
14-Feb-17,1000.74,1019,987.97,1008.88,6761.11,6806110.34,1006.66
15-Feb-17,1008.88,1013.8,1000.97,1011.53,3095.66,3123812.22,1009.09
16-Feb-17,1011.53,1043.21,1010.75,1032.7,5996.1,6170238.86,1029.04
17-Feb-17,1032.91,1064.99,1031.98,1055.46,6085.02,6386285.16,1049.51
18-Feb-17,1055.75,1068.99,1046.14,1056.4,4474.95,4745831.61,1060.53
19-Feb-17,1056.4,1061.9,1039.07,1051.8,2270.85,2388775.41,1051.93
20-Feb-17,1051.8,1089.99,1044.39,1084,3664.37,3902660.35,1065.03
21-Feb-17,1084,1126.86,1077,1124.62,8395.47,9273663.18,1104.6
22-Feb-17,1124.83,1143,1098.16,1130.01,11673.09,13146726.04,1126.24
23-Feb-17,1130.02,1193.92,1120.73,1188.11,11753.24,13558056.03,1153.56
24-Feb-17,1183.53,1220,1091.1,1180.14,19598.23,23023500.2,1174.77
25-Feb-17,1180.05,1184.73,1127,1152.2,6238.44,7226444.77,1158.37
26-Feb-17,1152.11,1184.97,1133,1179.05,3536.49,4127618.08,1167.15
27-Feb-17,1180.46,1197.99,1169,1194.64,4640.77,5511306.9,1187.58
28-Feb-17,1194.64,1209.99,1176.27,1191.21,7562.47,9017082.51,1192.35
01-Mar-17,1191.16,1231,1188.3,1226.39,6013.07,7276140.33,1210.05
02-Mar-17,1228,1283.25,1215,1257.6,7762.73,9679539.51,1246.92
03-Mar-17,1256.32,1298,1255,1285.33,7545.48,9615648.42,1274.36
04-Mar-17,1287.38,1289.55,1230,1260,4951.23,6237601.9,1259.81
05-Mar-17,1260,1275,1240,1273,3026.02,3809526.44,1258.92
06-Mar-17,1269.98,1285,1251,1278.49,4249.65,5420772.93,1275.58
07-Mar-17,1278.49,1281.62,1175.97,1233.05,14450.04,17887749.61,1237.9
08-Mar-17,1233.86,1245.49,1145.5,1150.05,13399.44,15905595.45,1187.03
09-Mar-17,1149.34,1208,1135.01,1190.89,7654.74,9019820.32,1178.33
10-Mar-17,1190.99,1350,975,1116.97,33467.94,38830456.29,1160.23
11-Mar-17,1111.55,1198,1106.51,1176.55,7346.79,8529224.3,1160.95
12-Mar-17,1176.58,1241.85,1170.9,1226.62,5793.91,7003314.41,1208.74
13-Mar-17,1226.42,1249.02,1215.43,1242.46,5637.36,6963555.14,1235.25
